A1,A79
110001,Sim
110002,Sim
110003,Não
110004,Sim
110005,Não
110006,Sim
110007,Não
110008,Não
110009,Sim
110010,Não
110011,Sim
110012,Sim
110013,Não
110014,Não
110015,Sim
110018,Sim
110020,Sim
110025,Sim
110026,Não
110028,Não
110029,Não
110030,Sim
110032,Sim
110033,Não
110034,Não
110037,Não
110040,Não
110045,Não
110050,Não
110060,Não
110070,Não
110080,Não
110090,Não
110092,Não
110094,Não
110100,Não
110110,Não
110120,Não
110130,Não
110140,Não
110143,Não
110145,Não
110146,Não
110147,Sim
110148,Não
110149,Não
110150,Não
110155,Não
110160,Não
110170,Não
110175,Não
110180,Não
120001,Não
120005,Não
120010,Não
120013,Não
120017,Não
120020,Sim
120025,Não
120030,Sim
120032,Não
120033,Não
120034,Não
120035,Não
120038,Não
120039,Não
120040,Sim
120042,Não
120043,Não
120045,Não
120050,Sim
120060,Sim
120070,Não
120080,Não
130002,Não
130006,Não
130008,Não
130010,Não
130014,Não
130020,Não
130030,Sim
130040,Sim
130050,Sim
130060,Não
130063,Não
130068,Não
130070,Sim
130080,Sim
130083,Não
130090,Não
130100,Não
130110,Sim
130115,Não
130120,Não
130130,Sim
130140,Não
130150,Não
130160,Não
130165,Não
130170,Sim
130180,Não
130185,Sim
130190,Sim
130195,Não
130200,Não
130210,Não
130220,Não
130230,Sim
130240,Sim
130250,Sim
130255,Não
130260,Sim
130270,Sim
130280,Não
130290,Sim
130300,Não
130310,Sim
130320,Não
130330,Não
130340,Sim
130350,Não
130353,Sim
130356,Não
130360,Não
130370,Sim
130380,Sim
130390,Sim
130395,Não
130400,Não
130406,Sim
130410,Sim
130420,Sim
130423,Não
130426,Não
130430,Não
130440,Não
140002,Não
140005,Não
140010,Sim
140015,Não
140017,Sim
140020,Não
140023,Não
140028,Sim
140030,Não
140040,Não
140045,Não
140047,Não
140050,Não
140060,Não
140070,Não
150010,Sim
150013,Não
150020,Sim
150030,Sim
150034,Sim
150040,Sim
150050,Não
150060,Sim
150070,Sim
150080,Sim
150085,Não
150090,Sim
150095,Sim
150100,Sim
150110,Sim
150120,Sim
150125,Não
150130,Sim
150140,Sim
150145,Sim
150150,Sim
150157,Não
150160,Não
150170,Sim
150172,Não
150175,Não
150178,Sim
150180,Sim
150190,Sim
150195,Não
150200,Sim
150210,Sim
150215,Sim
150220,Sim
150230,Sim
150240,Sim
150250,Sim
150260,Sim
150270,Sim
150275,Sim
150276,Não
150277,Sim
150280,Sim
150285,Sim
150290,Sim
150293,Sim
150295,Sim
150300,Sim
150304,Sim
150307,Sim
150309,Sim
150310,Sim
150320,Sim
150330,Não
150340,Não
150345,Sim
150350,Sim
150360,Sim
150370,Sim
150375,Sim
150380,Sim
150390,Sim
150400,Sim
150405,Sim
150410,Não
150420,Sim
150430,Sim
150440,Sim
150442,Sim
150445,Sim
150450,Sim
150460,Sim
150470,Sim
150480,Sim
150490,Sim
150495,Não
150497,Sim
150500,Não
150503,Sim
150506,Sim
150510,Sim
150520,Sim
150530,Sim
150540,Não
150543,Sim
150548,Sim
150549,Sim
150550,Sim
150553,Sim
150555,Sim
150560,Não
150563,Sim
150565,Sim
150570,Sim
150580,Sim
150590,Sim
150600,Não
150610,Não
150611,Não
150613,Sim
150616,Não
150618,Sim
150619,Sim
150620,Sim
150630,Sim
150635,Sim
150640,Não
150650,Sim
150655,Não
150658,Sim
150660,Sim
150670,Sim
150680,Sim
150690,Sim
150700,Não
150710,Não
150715,Sim
150720,Sim
150730,Sim
150740,Sim
150745,Sim
150746,Não
150747,Não
150750,Sim
150760,Sim
150770,Não
150775,Não
150780,Sim
150790,Sim
150795,Sim
150796,Não
150797,Sim
150800,Sim
150803,Sim
150805,Sim
150808,Sim
150810,Sim
150812,Sim
150815,Sim
150820,Sim
150830,Sim
150835,Não
150840,Sim
160005,Não
160010,Não
160015,Não
160020,Não
160021,Não
160023,Não
160025,Não
160027,Sim
160030,Sim
160040,Não
160050,Não
160053,Não
160055,Não
160060,Sim
160070,Não
160080,Não
170025,Não
170030,Sim
170035,Não
170040,Não
170070,Não
170100,Sim
170105,Não
170110,Não
170130,Não
170190,Não
170200,Não
170210,Sim
170215,Não
170220,Sim
170230,Sim
170240,Não
170255,Não
170270,Não
170290,Não
170300,Não
170305,Não
170307,Não
170310,Não
170320,Não
170330,Não
170360,Não
170370,Não
170380,Não
170382,Não
170384,Não
170386,Não
170388,Não
170389,Não
170390,Sim
170410,Não
170460,Não
170510,Não
170550,Sim
170555,Não
170560,Não
170600,Não
170610,Não
170625,Não
170650,Não
170700,Não
170710,Não
170720,Sim
170730,Não
170740,Não
170755,Não
170765,Não
170770,Não
170820,Não
170825,Não
170830,Não
170900,Sim
170930,Não
170950,Sim
170980,Não
171050,Não
171070,Não
171090,Não
171110,Não
171150,Não
171180,Não
171190,Sim
171195,Não
171200,Não
171215,Não
171240,Não
171245,Não
171250,Não
171270,Sim
171280,Não
171320,Sim
171330,Não
171360,Não
171370,Não
171380,Não
171395,Não
171420,Sim
171430,Não
171488,Não
171500,Não
171510,Não
171515,Não
171525,Não
171550,Não
171570,Não
171575,Não
171610,Sim
171620,Não
171630,Sim
171650,Não
171660,Não
171665,Não
171670,Não
171700,Não
171720,Não
171750,Não
171780,Não
171790,Sim
171800,Não
171820,Sim
171830,Não
171840,Não
171845,Não
171850,Não
171855,Não
171865,Não
171870,Não
171875,Não
171880,Não
171884,Não
171886,Não
171888,Não
171889,Não
171890,Não
171900,Não
172000,Não
172010,Não
172015,Sim
172020,Não
172025,Não
172030,Não
172049,Não
172065,Não
172080,Não
172085,Não
172090,Não
172093,Não
172097,Não
172100,Sim
172110,Não
172120,Não
172125,Não
172130,Não
172208,Não
172210,Sim
210005,Sim
210010,Não
210015,Não
210020,Sim
210030,Não
210040,Não
210043,Sim
210047,Sim
210050,Não
210055,Não
210060,Sim
210070,Sim
210080,Não
210083,Não
210087,Não
210090,Sim
210095,Sim
210100,Sim
210110,Não
210120,Sim
210125,Sim
210130,Não
210135,Não
210140,Sim
210150,Não
210160,Sim
210170,Sim
210173,Não
210177,Não
210180,Não
210190,Não
210193,Não
210197,Não
210200,Sim
210203,Não
210207,Não
210210,Sim
210215,Não
210220,Não
210230,Não
210232,Sim
210235,Não
210237,Sim
210240,Não
210250,Não
210255,Não
210260,Não
210270,Não
210275,Não
210280,Sim
210290,Não
210300,Sim
210310,Não
210312,Não
210315,Não
210317,Não
210320,Sim
210325,Não
210330,Não
210340,Sim
210350,Sim
210355,Não
210360,Não
210370,Não
210375,Não
210380,Sim
210390,Não
210400,Sim
210405,Sim
210407,Não
210408,Não
210409,Não
210410,Não
210420,Não
210430,Não
210440,Não
210450,Não
210455,Não
210460,Não
210462,Não
210465,Não
210467,Sim
210470,Não
210480,Não
210490,Não
210500,Não
210510,Sim
210515,Não
210520,Sim
210530,Sim
210535,Não
210540,Sim
210542,Sim
210545,Não
210547,Não
210550,Não
210560,Sim
210565,Não
210570,Sim
210580,Não
210590,Não
210592,Não
210594,Sim
210596,Não
210598,Não
210600,Não
210610,Não
